Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
Hoogkarspel,HKS,52.69055557,5.183888912,Oosterwijzend,36,1616 LD,Hoogkarspel,Netherlands
Houten Castellum,HTNC,52.01701,5.17949,??,??,3995 XA,Houten,Netherlands
Hoorn Kersenboogerd,HNK,52.65361023,5.085555553,Rijnweg,44,1628 PC,Hoorn,Netherlands
Hoorn,HN,52.64472198,5.055555344,Stationsplein,2,1621 HX,Hoorn,Netherlands
Eygelshoven,EGH,50.89055634,6.045000076,Nachtegaalstraat,3,6469 XW,Kerkrade,Netherlands
Horst-Sevenum,HRT,51.42638779,6.042222023,??,??,5975 RK,Sevenum,Netherlands
Houten,HTN,52.03402,5.16821,Onderdoor,68,3995 DX,Houten,Netherlands
Houthem-St. Gerlach,SGL,50.87333298,5.797222137,??,??,6301 JE,Valkenburg,Netherlands
Kampen,KPN,52.5597229,5.921666622,Stationsplein,1,8267 AB,Kampen,Netherlands
Kapelle-Biezelinge,BZL,51.48083496,3.956111193,Stationsstraat,49,4421 AK,Kapelle,Netherlands
Kerkrade Centrum,KRD,50.86166763,6.057499886,Museumplein,2,6461 MA,Kerkrade,Netherlands
Kesteren,KTR,51.9313869,5.5833465,Stationsstraat,40,4041 CJ,Kesteren,Netherlands
Kampen Zuid,KPNZ,52.5331,5.91309,??,??,8265,Kampen,Netherlands
Klarenbeek,KBK,52.17805481,6.083611012,??,??,7382 BH,Klarenbeek,Netherlands
Klimmen-Ransdaal,KMR,50.86639023,5.890555382,Mareheiweg,2,6343 EK,Klimmen,Netherlands
Koog aan de Zaan,KZ,52.45861053,4.805555344,Spoorland,55,1541 MK,Koog aan de Zaan,Netherlands
Zaandijk Zaanse Schans,ZZS,52.4691658,4.804999828,??,??,1541 LK,Koog aan de Zaan,Netherlands
Koudum-Molkwerum,KMW,52.9028197,5.4106913,??,??,8722 HB,Molkwerum,Netherlands
Krabbendijke,KBD,51.43333435,4.116944313,??,??,4675 RB,Krabbendijke,Netherlands
Krommenie-Assendelft,KMA,52.49511,4.75417,??,??,1561 KN,Krommenie,Netherlands
Kropswolde,KW,53.1617362,6.7220882,??,??,9606 PG,Foxhol,Netherlands
Kruiningen-Yerseke,KRG,51.46500015,4.037222385,Stationsweg,20,4416 PJ,Kruiningen,Netherlands
Den Haag Ypenburg,YPB,52.05527878,4.392222404,Prinses Máximastraat,??,2496,Den Haag,Netherlands
Den Haag Laan v NOI,LAA,52.07860947,4.342777729,Unnamed Road,??,2274 ND,Den Haag,Netherlands
Lage Zwaluwe,ZLW,51.69111252,4.66305542,??,??,4765 SK,Zevenbergschen Hoek,Netherlands
Leiden Lammenschans,LDL,52.14694595,4.492499828,Kamerlingh Onnesplein,4,2313 VL,Leiden,Netherlands
Leerdam,LDM,51.89472198,5.091388702,Parallelweg,14,4143 LA,Leerdam,Netherlands
Leeuwarden,LW,53.19583511,5.792222023,Achter Het Station,3,8932 EW,Leeuwarden,Netherlands
t Harde,HDE,52.4091682,5.893611,??,??,8084 HW,Het Harde,Netherlands
Leeuwarden Camminghaburen,LWC,53.2021808,5.8422968,??,??,8938 AH,Leeuwarden,Netherlands
Leiden Centraal,LEDN,52.16611099,4.481666565,Stationsplein,5b,2312 AJ,Leiden,Netherlands
Lelystad Centrum,LLS,52.50777817,5.472777843,Stationsplein,5,8232 DL,Lelystad,Netherlands
Lichtenvoorde-Groenlo,LTV,52.01188,6.59641,??,??,7137 MX,Lievelde,Netherlands
Lochem,LC,52.16666794,6.426388741,Stationsplein,1,7241 CV,Lochem,Netherlands
Halfweg-Zwanenburg,HWZB,52.385935,4.747165,??,??,1165 MJ,Halfweg,Netherlands
Loppersum,LP,53.3347145,6.7472625,Stationslaan,10,9919 AB,Loppersum,Netherlands
Heerlen Woonboulevard,HRLW,50.896667,5.952222,In de Cramer,88,6412 PM,Heerlen,Netherlands
Lunteren,LTN,52.08527756,5.624444485,Spoorstraat,2,6741 DE,Lunteren,Netherlands
Emmen Zuid,EMNZ,52.74886637,6.874780655,??,??,7827 NM,Emmen,Netherlands
Maarn,MRN,52.06416702,5.369999886,??,??,3951 BV,Maarn,Netherlands
Maarssen,MAS,52.13527679,5.033611298,Safariweg,55,3605 NB,Maarssen,Netherlands
Maastricht,MT,50.85027695,5.705555439,Stationsplein,29,6221 BT,Maastricht,Netherlands
Maastricht Randwyck,MTR,50.8386116,5.717222214,Endepolsdomein,3,6229 GW,Maastricht,Netherlands
Mantgum,MG,53.1296368,5.7131996,??,??,9022,Mantgum,Netherlands
Mariënberg,MRB,52.50944519,6.575277805,Stationsweg,6,7692 AC,Marienberg,Netherlands
Martenshoek,MTH,53.1607232,6.7402989,??,??,9602 AA,Hoogezand,Netherlands
Maarheeze,MZ,51.30376236,5.63034296,??,??,6026 RB,Maarheeze,Netherlands
Hengelo Gezondheidspark,HGLG,52.261667,6.773611,Magdalenalaan,8,7555 TA,Hengelo,Netherlands
Meerssen,MES,50.88287939,5.750999451,Stationsplein,45,6231 CN,Meerssen,Netherlands
Meppel,MP,52.69083405,6.197500229,??,??,7941 GX,Meppel,Netherlands
Middelburg,MDB,51.49472046,3.617222309,Kanaalweg,12,4337 PA,Middelburg,Netherlands
Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,??,??,3313 LE,Hardinxveld-Giessendam,Netherlands
Mook Molenhoek,MMLH,51.766262,5.879133,??,??,6584 AC,Mook,Netherlands
Maastricht Noord,MTN,50.87087,5.71774,??,??,6222 AN,Maastricht,Netherlands
Almere Poort,AMPO,52.342778,5.151944,??,??,1361,Almere,Netherlands
Nijmegen Lent,NML,51.861811,5.859686,Warmoezenierstraat,31,6663 AK,Nijmegen,Netherlands
Naarden-Bussum,NDB,52.28027725,5.156944275,Stationsweg,3,1404 AN,Bussum,Netherlands
Nieuw Amsterdam,NA,52.71861267,6.848610878,Veilingstraat,41,7844 NX,Veenoord,Netherlands
Nieuwerkerk a/d IJssel,NWK,51.96527863,4.616944313,??,??,2911 AP,Nieuwerkerk aan den IJssel,Netherlands
Bad Nieuweschans,NSCH,53.1844,7.19937,Stationsstraat,27,9693 AA,Bad Nieuweschans,Netherlands
Nieuw Vennep,NVP,52.25888824,4.645555496,??,??,2153 MD,Nieuw-Vennep,Netherlands
Nunspeet,NS,52.37083435,5.785277843,Plesmanlaan,10,8072 PT,Nunspeet,Netherlands
Nuth,NH,50.91944504,5.89277792,Stationsplein,1,6361 BG,Nuth,Netherlands
Nijmegen Heyendaal,NMH,51.82694626,5.867499828,Verlengde Groenestraat,21,6525 EG,Nijmegen,Netherlands
Nijkerk,NKK,52.22222137,5.493888855,Willem-Alexanderplein,16,3862 CE,Nijkerk,Netherlands
Nijmegen,NM,51.84361267,5.852222443,Stationsplein,5,6512 AB,Nijmegen,Netherlands
Nijverdal,NVD,52.366111,6.462,Parkeerterrein Grotestraat Noord,??,7442 MA,Nijverdal,Netherlands
Nijmegen Dukenburg,NMD,51.82416534,5.795555592,Valkenaerhof,77,6538 TE,Nijmegen,Netherlands
Nijmegen Goffert,NMGO,51.8273,5.822722,??,??,6534 BB,Nijmegen,Netherlands
Obdam,OBD,52.67805481,4.907222271,Handelskade,5,1713 HS,Obdam,Netherlands
Oisterwijk,OT,51.58222198,5.19416666,??,??,5061 KC,Oisterwijk,Netherlands
Oldenzaal,ODZ,52.30638885,6.934722424,??,??,7573,Oldenzaal,Netherlands
Olst,OST,52.33472061,6.113055706,Stationsweg,34,8121 CL,Olst,Netherlands
Ommen,OMN,52.50944519,6.415833473,Wolfskuilstraat,22,7731 AT,Ommen,Netherlands
Oosterbeek,OTB,51.99499893,5.840000153,Johannahoeveweg,4,6861 WH,Oosterbeek,Netherlands
Hoevelaken,HVL,52.16652,5.45718,??,??,3836 PC,Stoutenburg-Noord,Netherlands
Opheusden,OP,51.9261615,5.6371145,??,??,6669 MJ,Opheusden,Netherlands
Oss,O,51.76555634,5.532222271,Spoorlaan,72,5348 KC,Oss,Netherlands
Oss West,OW,51.75805664,5.50555563,De Wildestraat,16,5344 SB,Oss,Netherlands
Sliedrecht Baanhoek,SDTB,51.829722,4.743333,Rondo,321,3363 LB,Sliedrecht,Netherlands
Oudenbosch,ODB,51.58777618,4.533333302,Stationsstraat,9,4731 GM,Oudenbosch,Netherlands
Purmerend Weidevenne,PMW,52.49659063,4.935629368,??,??,1448 NL,Purmerend,Netherlands
Overveen,OVN,52.39110947,4.60611105,Tetterodeweg,2,2051 EE,Overveen,Netherlands
Rijswijk,RSW,52.03972244,4.31916666,Hoogkamerlaan,106,2283 CK,Rijswijk,Netherlands
Purmerend Overwhere,PMO,52.51139069,4.968333244,??,??,1443 EN,Purmerend,Netherlands
Rotterdam Alexander,RTA,51.95194626,4.553611279,Marten Meesweg,50,3068 AV,Rotterdam,Netherlands
Purmerend,PMR,52.50305557,4.953610897,Beatrixplein,89,1441 JR,Purmerend,Netherlands
Putten,PT,52.26499939,5.575277805,Stationsstraat,127,3881 AC,Putten,Netherlands
Raalte,RAT,52.39166641,6.277500153,Ceintuurbaan,10,8102 AA,Raalte,Netherlands
Ravenstein,RVS,51.79416656,5.635833263,Stationssingel,123,5371 BB,Ravenstein,Netherlands
Rhenen,RHN,51.95861053,5.578333378,Spoorbaanweg,7,3911 CA,Rhenen,Netherlands
Reuver,RV,51.28321917,6.078958511,??,??,5953 DV,Reuver,Netherlands
Rheden,RH,52.0101,6.0314,Doctor Langemeijerweg,16B,6991 EV,Rheden,Netherlands
Almelo de Riet,AMRI,52.34194565,6.666666508,Rietstraat,226,7606 BW,Almelo,Netherlands
Rilland-Bath,RB,51.42277908,4.161110878,??,??,4411 ND,Rilland,Netherlands
Roermond,RM,51.1930542,5.994166851,??,??,6041 GN,Roermond,Netherlands
Rosmalen,RS,51.71472168,5.368055344,Vendelierstraat,15,5241 TT,Rosmalen,Netherlands
Roodeschool,RD,53.421262,6.7587,??,??,9983 RJ,Roodeschool,Netherlands
Roosendaal,RSD,51.54027939,4.458333492,??,??,4702 VZ,Roosendaal,Netherlands
Rotterdam Blaak,RTB,51.92027664,4.488888741,Blaak,1,3011 GA,Rotterdam,Netherlands
Rotterdam Centraal,RTD,51.92499924,4.46888876,Stationsplein,7a,3013 AJ,Rotterdam,Netherlands
Rotterdam Noord,RTN,51.9422226,4.481666565,Bergweg,9,3036 BA,Rotterdam,Netherlands
Rotterdam Zuid,RTZ,51.90444565,4.510277748,Oranjeboomstraat,347,3071 ST,Rotterdam,Netherlands
Rotterdam Stadion,RTST,51.89389038,4.519721985,??,??,3077 AL,Rotterdam,Netherlands
Ruurlo,RL,52.0810888,6.4492656,??,??,7261 AD,Ruurlo,Netherlands
Rijssen,RSN,52.31222153,6.520277977,Reggesingel,40,7461 AK,Rijssen,Netherlands
Rotterdam Lombardijen,RLB,51.88000107,4.53138876,Krimpenerstraat,9,3079 DV,Rotterdam,Netherlands
Santpoort Noord,SPTN,52.43388748,4.632500172,??,??,2071 TP,Santpoort-Noord,Netherlands
Santpoort Zuid,SPTZ,52.41972351,4.631388664,??,??,2082 CB,Santpoort-Zuid,Netherlands
Sappemeer Oost,SPM,53.1589183,6.7955648,Borgercompagniesterstraat,72,9611 KC,Sappemeer,Netherlands
Sauwerd,SWD,53.29113,6.5404,Stationsstraat,43,9771 AA,Sauwerd,Netherlands
Landgraaf,LG,50.89638901,6.01916647,Stationsplein,67,6372 GR,Landgraaf,Netherlands
Schagen,SGN,52.7844429,4.805277824,Plantsoen,3,1741 EM,Schagen,Netherlands
Scheemda,SDA,53.1655362,6.9777775,Stationsstraat,85,9679 EC,Scheemda,Netherlands
Schiedam Centrum,SDM,51.92124381,4.408993721,??,??,3112 VM,Schiedam,Netherlands
Schinnen,SN,50.93916702,5.874444485,Nagelbeek,2,6365 EK,Schinnen,Netherlands
Schin op Geul,SOG,50.85638809,5.872222424,Baanweg,1,6305 PH,Schin op Geul,Netherlands
Schiphol Airport,SHL,52.30944443,4.761944294,??,??,1118 AX,Schiphol,Netherlands
Sittard,STD,51.00166702,5.858611107,Stationsplein,2,6131 AS,Sittard,Netherlands
Sliedrecht,SDT,51.82972336,4.778333187,??,??,3364 AM,Sliedrecht,Netherlands
Sneek,SK,53.0328688,5.6523969,Doctor Boumaweg,16A,8601 GM,Sneek,Netherlands
Soest,ST,52.17333221,5.309999943,Stationsweg,16,3764 CJ,Soest,Netherlands
Soestdijk,SD,52.18361282,5.300000191,Het Oude Raadhuis,75,3761 AW,Soest,Netherlands
Hilversum Sportpark,HVSP,52.21611023,5.187222004,??,??,1213 AG,Hilversum,Netherlands
Soest Zuid,STZ,52.16527939,5.303055763,Eikenlaan,44,3768 ET,Soest,Netherlands
Spaubeek,SBK,50.94327,5.850529,Op Het Veldje,44,6176 BK,Spaubeek,Netherlands
Sneek Noord,SKND,53.0409319,5.6631808,Worp Tjaardastraat,22,8602 XE,Sneek,Netherlands
Stavoren,STV,52.8865535,5.3600212,??,??,8715 ES,Stavoren,Netherlands
Stedum,STM,53.3262092,6.6875551,Stationsstraat,2,9921 PX,Stedum,Netherlands
Steenwijk,SWK,52.79151099,6.114555763,Stationsplein,10,8331 GM,Steenwijk,Netherlands
Susteren,SRN,51.06138992,5.863055706,Spoorstraat,62,6114 EM,Susteren,Netherlands
Swalmen,SM,51.23582,6.03228,Parallelweg,10,6071 PH,Swalmen,Netherlands
Tegelen,TG,51.33894,6.14253,Industriestraat,94,5931 PK,Tegelen,Netherlands
Terborg,TBG,51.9224549,6.3642466,??,??,7061 CW,Terborg,Netherlands
Tilburg Universiteit,TBU,51.56499863,5.051111221,??,??,5042 RW,Tilburg,Netherlands
Tiel,TL,51.88944626,5.422222137,??,??,4001 CN,Tiel,Netherlands
Tilburg,TB,51.5605545,5.083611012,station passage,5,5038 CB,Tilburg,Netherlands
Tilburg Reeshof,TBR,51.57361221,4.99444437,??,??,5044 VC,Tilburg,Netherlands
Twello,TWL,52.23777771,6.098610878,Raccordement,8a,7391 EB,Twello,Netherlands
Tiel Passewaaij,TPSW,51.87388992,5.392222404,??,??,4014 PG,Wadenoijen,Netherlands
Sassenheim,SSH,52.215278,4.517222,??,??,2361,Warmond,Netherlands
Utrecht Vaartsche Rijn,UTVR,52.078889,5.121667,Westerkade,38,3511 HC,Utrecht,Netherlands
Utrecht Leidsche Rijn,UTLR,52.09896,5.06523,??,??,3542 AK,Utrecht,Netherlands
Utrecht Zuilen,UTZL,52.103055,5.09,??,??,3551 VG,Utrecht,Netherlands
Utrecht Terwijde,UTT,52.1000753,5.0439547,??,??,3543 EA,Utrecht,Netherlands
Uitgeest,UTG,52.52166748,4.701666832,Anna Van Renesselaan,21,1911 KP,Uitgeest,Netherlands
Uithuizen,UHZ,53.4099568,6.6748869,Industrieweg,4,9981 HJ,Uithuizen,Netherlands
Uithuizermeeden,UHM,53.4145845,6.7202975,Stationsstraat,18,9982 HA,Uithuizermeeden,Netherlands
Usquert,UST,53.4014742,6.6093776,Stationsstraat,2,9988 RP,Usquert,Netherlands
Utrecht Overvecht,UTO,52.11000061,5.124722004,Tiberdreef,24,3561 GG,Utrecht,Netherlands
Utrecht Centraal,UT,52.08889008,5.110277653,Stationshal,5C,3511 CE,Utrecht,Netherlands
Utrecht Lunetten,UTLN,52.06555557,5.14416647,Nieuwe Houtenseweg,2,3524 SH,Utrecht,Netherlands
Utrecht Maliebaan,UTM,52.08777618,5.131388664,Maliebaanstation,16,3581 XW,Utrecht,Netherlands
Veenendaal Centrum,VNDC,52.02000046,5.548611164,Rembrandtlaan,3,3904 ZJ,Veenendaal,Netherlands
Veenendaal West,VNDW,52.0280571,5.53138876,??,??,3906 EN,Veenendaal,Netherlands
Valkenburg,VK,50.86972046,5.832221985,Parallelweg,57,6301 XZ,Valkenburg,Netherlands
Varsseveld,VSV,51.937257,6.458839,??,??,7051 HL,Varsseveld,Netherlands
Veendam,VDM,53.10324,6.88475,??,??,9641 KG,Veendam,Netherlands
Veenendaal-De Klomp,KLP,52.04583359,5.573888779,??,??,6745 XE,De Klomp,Netherlands
Feanwâlden,FWD,53.2351834,5.9886615,??,??,9269 PG,Feanwâlden,Netherlands
Velp,VP,51.99472046,5.980278015,Kastanjelaan,12,6883 HZ,Velp,Netherlands
Venlo,VL,51.36360931,6.172777653,Stationsplein,3,5913 AA,Venlo,Netherlands
Venray,VRY,51.5265681,6.014177799,??,??,5807 AB,Oostrum,Netherlands
Vierlingsbeek,VLB,51.59193,5.99714,??,??,5821 ED,Vierlingsbeek,Netherlands
Vleuten,VTN,52.103056,5.007404,??,??,3451 ZW,Utrecht,Netherlands
Vlissingen,VS,51.44583511,3.595277786,Prins Hendrikweg,11,4382 NR,Vlissingen,Netherlands
Vlissingen Souburg,VSS,51.46472168,3.595277786,Spoorstraat,1,4388 BR,Oost-Souburg,Netherlands
Voorhout,VH,52.22444534,4.484444618,??,??,2215 LB,Voorhout,Netherlands
Voerendaal,VDL,50.88722229,5.930277824,??,??,6367 GC,Voerendaal,Netherlands
Voorburg,VB,52.06666565,4.359444618,??,??,2275 AZ,Voorburg,Netherlands
Voorschoten,VST,52.12527847,4.432499886,??,??,2252 TW,Voorschoten,Netherlands
Vorden,VD,52.1071949,6.3170457,??,??,7251 EL,Vorden,Netherlands
Vriezenveen,VZ,52.40203,6.60041,??,??,7671 JE,Vriezenveen,Netherlands
Vroomshoop,VHP,52.4571921,6.5696679,??,??,7681 ML,Vroomshoop,Netherlands
Vught,VG,51.65555573,5.291944504,??,??,5262 XB,Vught,Netherlands
Voorst-Empe,VEM,52.15750122,6.143610954,??,??,7399 AC,Empe,Netherlands
Waddinxveen Noord,WADN,52.05500031,4.648333549,??,??,2741 AJ,Waddinxveen,Netherlands
Waddinxveen,WAD,52.04416656,4.649722099,??,??,2741 HS,Waddinxveen,Netherlands
Waddinxveen Triangel,WADT,52.02725,4.6491,??,??,2741 PR,Waddinxveen,Netherlands
Warffum,WFM,53.3908431,6.5671364,Oosterstraat,10,9989 AD,Warffum,Netherlands
Weert,WT,51.24861145,5.703610897,??,??,6006 AN,Weert,Netherlands
Weesp,WP,52.31277847,5.043055534,Stationsplein,2,1382 AD,Weesp,Netherlands
Wehl,WL,51.9578065,6.213844,Stationsstraat,30A,7031 BR,Wehl,Netherlands
Westervoort,WTV,51.96286,5.9695,??,??,6931 CZ,Westervoort,Netherlands
Wezep,WZ,52.45416641,6.002500057,Stationsweg,107,8091 AC,Wezep,Netherlands
Wierden,WDN,52.36138916,6.591666698,Spoorstraat,1,7641 BJ,Wierden,Netherlands
Winschoten,WS,53.1392377,7.035101,Stationsweg,22,9671 AN,Winschoten,Netherlands
Winsum,WSM,53.3300994,6.5202905,??,??,9951 BB,Winsum,Netherlands
Winterswijk,WW,51.9677307,6.7155181,Stationsstraat,36,7101 GH,Winterswijk,Netherlands
Winterswijk West,WWW,51.97453,6.70417,??,??,7102 EX,Winterswijk,Netherlands
Woerden,WD,52.08499908,4.893610954,Stationsplein-Noord,6,3445 AD,Woerden,Netherlands
Wolfheze,WF,52.0055542,5.79361105,Parallelweg,1,6874 BH,Wolfheze,Netherlands
Wolvega,WV,52.88083267,6.003611088,Spoorsingel,39,8471 AP,Wolvega,Netherlands
Workum,WK,52.9724864,5.4564285,??,??,8711 JG,Workum,Netherlands
Wormerveer,WM,52.48916626,4.792222023,??,??,1521,Wormerveer,Netherlands
Wijchen,WC,51.8116684,5.73083353,Stationslaan,2,6602 BP,Wijchen,Netherlands
Wijhe,WH,52.39027786,6.140555382,Prins Hendrikstraat,7,8131 AC,Wijhe,Netherlands
IJlst,IJT,53.0146614,5.6160801,??,??,8618 NH,IJlst,Netherlands
Zaandam Kogerveld,ZDK,52.45666504,4.820277691,??,??,1508 WR,Zaandam,Netherlands
Zaandam,ZD,52.43888855,4.813611031,??,??,1503 KJ,Zaandam,Netherlands
Zaltbommel,ZBM,51.80888748,5.263333321,??,??,5301 GL,Zaltbommel,Netherlands
Zandvoort aan Zee,ZVT,52.37527847,4.532777786,Zeestraat,69,2042 LB,Zandvoort,Netherlands
Zetten-Andelst,ZA,51.920056,5.7228408,Parallelweg Noord,4,6671 DK,Zetten,Netherlands
Zevenaar,ZV,51.92305374,6.071944237,??,??,6905 DK,Zevenaar,Netherlands
Zevenbergen,ZVB,51.64042,4.60904,De Hil,26,4762 AG,Zevenbergen,Netherlands
Zoetermeer Oost,ZTMO,52.04639053,4.492777824,??,??,2718,Zoetermeer,Netherlands
Zoetermeer,ZTM,52.04750061,4.477222443,Nelson Mandelabrug,8,2719 EZ,Zoetermeer,Netherlands
Zuidbroek,ZB,53.15961228,6.8679142,Stationsstraat,5,9636 BA,Zuidbroek,Netherlands
Zuidhorn,ZH,53.2486292,6.4062361,Hooiweg,9,9801 AJ,Zuidhorn,Netherlands
Zutphen,ZP,52.14527893,6.19416666,Lijmerij,27,7202 AZ,Zutphen,Netherlands
De Westereen,DWE,53.24817,6.03463,Bûterwei,8,9271 EN,De Westereen,Netherlands
Zwolle Stadshagen na 14 dec,ZLSH,52.52764,6.05146,Rozenpad,9,8042 AB,Zwolle,Netherlands
Zwolle,ZL,52.5047226,6.091944218,??,??,8011 CA,Zwolle,Netherlands
Zwijndrecht,ZWD,51.81499863,4.641666889,Stationsweg,40,3331 LR,Zwijndrecht,Netherlands
Basel SBB,BASELS,47.5474,7.58956,Centralbahnstrasse,22,4051,Basel,Switzerland
Zürich HB,ZUE,47.37819,8.5392,Bahnhofplatz,15,8001,Zürich,Switzerland
Baden (CH),BADENZ,47.47638,8.30772,Bahnhofstrasse,25,5400,Baden,Switzerland
Lille Europe,LILLEE,50.639444,3.074722,Avenue François Mitterrand,1,59777,Lille,France
Paris-Nord,PARIS,48.87977,2.35575,Rue de Dunkerque,14,75010,Paris,France
Airport Charles de Gaulle,ACDG,49.004048,2.571133,??,??,77990,Le Mesnil-Amelot,France
Avignon TGV,AVTGV,43.92194,4.78604,??,??,84000,Avignon,France
Aix-en-Provence TGV,AIXTGV,43.52281908,5.445313454,Rue Gustave Desplaces,??,13100,Aix-en-Provence,France
Marne-la-Vallée-Chessy,MARNE,48.86826,2.78218,??,??,77700,Chessy,France
Chambéry,CHAMB,45.57127,5.91953,Place de la Gare,??,73000,Chambéry,France
Albertville,ALBERT,45.67302,6.38306,??,??,73200,Albertville,France
Moutiers-Salins-Brides,MOUT,45.48664,6.53105,Rue Greyffié de Bellecombe,??,73600,Moutiers,France
Aime-la-Plagne,AIME,45.55438,6.64869,Avenue de la Gare,174,73210,Aime,France
Landry,LANDRY,45.57414,6.73378,??,??,73210,Landry,France
Bourg-St-Maurice,BOURG,45.61918,6.77167,Place de la Gare,30,73700,Bourg-Saint-Maurice,France
Marseille-St-Charles,MARS,43.30381,5.38195,Square Narvik,??,13232,Marseille,France
Valence TGV,VALTGV,44.9278,4.89321,Rue Denis Papin,38,26000,Valence,France
Brussel-Noord,BRUSN,50.8605262,4.3617873,Rue d'Aerschot,50,1030,Schaerbeek,Belgium
Brussel-Centraal,BRUSC,50.8454658,4.3571135,Carrefour de l'Europe,2,1000,Bruxelles,Belgium
Brussel-Zuid/Midi,BRUSZ,50.8350108,4.3345957,??,??,1060,Sint-Gillis,Belgium
Brussels Airport-Zaventem,FBNL,50.896389,4.481943,Unnamed Road,??,1934,Zaventem,Belgium
Antwerpen-Centraal,ATW,51.2161,4.42122,Pelikaanstraat,3,2018,Antwerpen,Belgium
Antwerpen-Luchtbal,ATWLB,51.2449375,4.4251543,??,??,2170,Antwerpen,Belgium
Ekeren,LKR,51.2816099,4.4341227,??,??,2180,Antwerpen,Belgium
Antwerpen-Noorderdokken,ANDD,51.261686,4.4274315,??,??,2030,Antwerpen,Belgium
Noorderkempen,NDKP,51.3573,4.63273,??,??,2960,Brecht,Belgium
Antwerpen-Berchem,BERCH,51.2001783,4.4327702,Uitbreidingstraat,452,2600,Antwerpen,Belgium
Antwerpen-Zuid,FNZD,51.19785,4.39027,??,??,2018,Antwerpen,Belgium
Essen (B),ESN,51.46261,4.45129,??,??,2910,Essen,Belgium
Wildert,GWD,51.4277061,4.4633962,??,??,2910,Essen,Belgium
Kalmthout,FKTH,51.3909989,4.4668202,??,??,2920,Kalmthout,Belgium
Kijkuit,GKT,51.37867,4.46722,Kijkuitstraat,63,2920,Kalmthout,Belgium
Heide (B),MID,51.364828,4.4604308,??,??,2920,Kalmthout,Belgium
Kapellen,LKP,51.31362,4.43262,??,??,2950,Kapellen,Belgium
Sint-Mariaburg,MARIA,51.29126,4.43495,??,??,2180,Antwerpen,Belgium
Mechelen,MECH,51.01786,4.48306,??,??,2800,Mechelen,Belgium
Puurs,FRP,51.07716,4.28273,??,??,2870,Puurs,Belgium
Boom,FMB,51.09063,4.36057,??,??,2850,Boom,Belgium
Ruisbroek-Sauvegarde,FSV,51.08115,4.32551,??,??,2870,Puurs,Belgium
Hoboken-Polder,FOE,51.18285,4.34831,??,??,2660,Antwerpen,Belgium
Hemiksem,LKM,51.13624,4.33828,??,??,2620,Hemiksem,Belgium
Schelle,SCHLL,51.12555,4.34023,Steenwinkelstraat,2,2627,Schelle,Belgium
Niel,LNI,51.11154,4.33845,??,??,2845,Niel,Belgium
Hasselt,FHS,50.930555,5.3275,Stationsplein,2,3500,Hasselt,Belgium
Diepenbeek,GDP,50.910278,5.419722,Spoorstraat,1,3590,Diepenbeek,Belgium
Bilzen,FIE,50.868333,5.509167,Nieuwstraat,28,3740,Bilzen,Belgium
Tongeren,FTG,50.784167,5.473056,Zagerijstraat,2,3700,Tongeren,Belgium
Leuven,LEUVEN,50.88136,4.71568,Martelarenplein,20,3000,Leuven,Belgium
Liège-Guillemins,LUIK,50.62436,5.56648,??,??,4000,Liège,Belgium
Liège-Saint-Lambert,FLGP,50.64648,5.57072,??,??,4000,Luik,Belgium
Liège-Palais,LUIKP,50.64648,5.57072,??,??,4000,Luik,Belgium
Liège-Jonfosse,LUIKJ,50.64051,5.56197,Rue Pouplin,10,4000,Liège,Belgium
Liège-Carré,FLJ,50.64051,5.56197,Rue Pouplin,10,4000,Liège,Belgium
Herstal,LHS,50.66076,5.62231,??,??,4040,Herstal,Belgium
Milmort,BLTM,50.69301,5.59983,??,??,4041,Herstal,Belgium
Liers,LSL,50.69822,5.56848,??,??,4042,Herstal,Belgium
Glons,LGL,50.750277,5.535278,Rue de la Station,??,4690,Bassenge,Belgium
Bressoux,BRESSX,50.643829,5.6112542,Rue de la Lèche,71,4020,Liège,Belgium
Visé,FVS,50.73781,5.69232,??,??,4600,Visé,Belgium
Lokeren,FLK,51.107222,3.985833,??,??,9160,Lokeren,Belgium
Sinaai,LSW,51.143333,4.068889,Schrijberg,11,9111,Sint-Niklaas,Belgium
Belsele,LLB,51.150833,4.088332,Gavermolenstraat,28,9111,Sint-Niklaas,Belgium
Sint-Niklaas,FSN,51.171944,4.144167,Kazernestraat,5,9100,Sint-Niklaas,Belgium
Nieuwkerken-Waas,FNU,51.185556,4.185832,Heihoekstraat,1,9100,Sint-Niklaas,Belgium
Beveren,FBR,51.208056,4.259444,Kruibekesteenweg,3,9120,Beveren,Belgium
Melsele,LM,51.210556,4.286667,??,??,9120,Beveren,Belgium
Zwijndrecht (B),LZD,51.214167,4.33,??,??,2070,Zwijndrecht,Belgium
Veendam,VDM,53.10324,6.88475,??,??,9641 KG,Veendam,Netherlands
Veenendaal Centrum,VNDC,52.02000046,5.548611164,Rembrandtlaan,3,3904 ZJ,Veenendaal,Netherlands
Veenendaal West,VNDW,52.0280571,5.53138876,??,??,3906 EN,Veenendaal,Netherlands
Veenendaal-De Klomp,KLP,52.04583359,5.573888779,??,??,6745 XE,De Klomp,Netherlands
Veenwouden tot 13 dec,VWD,53.2351834,5.9886615,??,??,9269 PG,Feanwâlden,Netherlands
