Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
Selm-Beifang,ESEB,51.692947,7.454829,??,??,59379,Selm,Germany
Rosendahl-Holtwick,EHW,51.99946726,7.121500969,Ringstraße,50,48720,Rosendahl,Germany
Legden,ELGD,52.034924,7.088538,Bahnhofstraße,19,48739,Legden,Germany
Ahaus,EAHS,52.07979612,7.016358376,Parallelstraße,10,48683,Ahaus,Germany
Epe (Westf),EEPE,52.18346,7.03009,Zum Bahnhof,42A,48599,Gronau (Westfalen),Germany
Gronau (Westf.),G,52.21521,7.022109,??,??,48599,Gronau (Westfalen),Germany
Steinfurt-Burgsteinfurt,EBFT,52.147384,7.32934,??,??,48565,Steinfurt,Germany
Münster-Häger,ENBE,52.022327,7.562668,Plantstaken,30,48161,Münster,Germany
Altenberge,EABG,52.05223,7.481202,??,??,48341,Altenberge,Germany
Nordwalde,ENOW,52.077618,7.461706,Am Bahnhof,12,48356,Nordwalde,Germany
Steinfurt-Borghorst,EBGO,52.118791,7.397581,??,??,48565,Steinfurt,Germany
Metelen Land,EMTE,52.162444,7.254423,??,??,48629,Metelen,Germany
Ochtrup,EOP,52.201703,7.182643,??,??,48607,Ochtrup,Germany
Bad Bentheim,BH,52.3096856,7.158536911,Am Bahnhof,1,48455,Bad Bentheim,Germany
Bünde (Westf),BUENDE,52.202075,8.573876,??,??,32257,Bünde,Germany
Weener,WR,53.16311,7.3442,Am Bahnhof,1A,26826,Weener,Germany
Münster (W) Zentrum Nord,ENHF,51.984987,7.63861,??,??,48147,Münster,Germany
Stendal,LS,52.594723,11.854412,??,??,39576,Stendal,Germany
Stuttgart Hbf,TS,48.784084,9.181635,Arnulf-Klett-Platz,2,70173,Stuttgart,Germany
Plochingen,TP,48.71308,9.41081,Bahnhof,1,73207,Plochingen,Germany
Göppingen,TGO,48.700191,9.651685,??,??,73033,Göppingen,Germany
Ulm Hbf,TU,48.399015,9.982165,Schillerstraße,39,89077,Ulm,Germany
Limburg Süd,FLB,50.382498,8.096112,Londoner Straße,5,65552,Limburg an der Lahn,Germany
Elten,EL,51.8743,6.15417,??,??,46446,Emmerich am Rhein,Germany
Düsseldorf Flughafen,KDFFH,51.292009,6.786836,??,??,40472,Düsseldorf,Germany
Frankfurt Flughafen Fernb,FNAF,50.05317103,8.57023716,??,??,60549,Frankfurt am Main,Germany
Berlin Hbf,BERHBL,52.52503,13.36946,Europaplatz,2,10557,Berlin,Germany
Steinfurt-Grottenkamp,EGRK,52.123439,7.376031,Fichtenweg,11,48565,Steinfurt,Germany
Jenbach,JENBAC,47.38844,11.77841,Bahnhofstraße,4,6200,Jenbach,Austria
Innsbruck Hbf,INNSB,47.26328,11.401,??,??,6020,Innsbruck,Austria
Kufstein,KUFST,47.5831,12.16568,??,??,6330,Kufstein,Austria
Aalten,ATN,51.92132652,6.578627229,Stationsstraat,38,7122 AT,Aalten,Netherlands
Abcoude,AC,52.2785,4.977,Spoorlaan,39,1391 JM,Abcoude,Netherlands
Akkrum,AKM,53.04639053,5.84361124,Ombocht,7,8491 BP,Akkrum,Netherlands
Alkmaar,AMR,52.63777924,4.739722252,Stationsweg,43B,1815 CB,Alkmaar,Netherlands
Almelo,AML,52.35805511,6.653888702,Parallelweg,50,7604 TX,Almelo,Netherlands
Alkmaar Noord,AMRN,52.64389038,4.764166832,Drechterwaard,110,1824 DX,Alkmaar,Netherlands
Alphen a/d Rijn,APN,52.12444305,4.657777786,??,??,2405 ZW,Alphen aan den Rijn,Netherlands
Amersfoort Schothorst,AMFS,52.17482214,5.403888702,??,??,3813 ZX,Amersfoort,Netherlands
Amersfoort,AMF,52.1538887,5.370555401,Stationsplein,71,3818 LE,Amersfoort,Netherlands
Amsterdam RAI,RAI,52.33722305,4.890277863,??,??,1078,Amsterdam,Netherlands
Amsterdam Amstel,ASA,52.34666824,4.917778015,Julianaplein,1A,1097 DN,Amsterdam,Netherlands
Amsterdam Centraal,ASD,52.37888718,4.900277615,Stationsplein,37a,1012 AB,Amsterdam,Netherlands
Amsterdam Sloterdijk,ASS,52.38888931,4.837777615,Orlyplein,107,1043 DT,Amsterdam,Netherlands
Amsterdam Muiderpoort,ASDM,52.36055374,4.931111336,Oosterspoorplein,1B,1093 MB,Amsterdam,Netherlands
Amsterdam Zuid,ASDZ,52.338889,4.872356,??,??,1077 XV,Amsterdam,Netherlands
Anna Paulowna,ANA,52.86722183,4.811110973,Kruiswijk,21,1761 AR,Anna Paulowna,Netherlands
Apeldoorn,APD,52.20916748,5.970277786,??,??,7331 VE,Apeldoorn,Netherlands
Appingedam,APG,53.3258135,6.8619577,??,??,9901 CP,Appingedam,Netherlands
Arkel,AKL,51.87194443,4.992777824,??,??,4241 XH,Arkel,Netherlands
Arnemuiden,ARN,51.50166702,3.669166565,Stationsplein,7,4341 AT,Arnemuiden,Netherlands
Arnhem Centraal,AH,51.98500061,5.899166584,??,??,6811 MA,Arnhem,Netherlands
Arnhem Velperpoort,AHP,51.98527908,5.919444561,Sonsbeeksingel,154,6822 BM,Arnhem,Netherlands
Assen,ASN,52.99166489,6.570833206,??,??,9401 LA,Assen,Netherlands
Amsterdam Bijlmer ArenA,ASB,52.31222153,4.946944237,??,??,1102 BR,Amsterdam,Netherlands
Arnhem Presikhaaf,AHPR,51.98805618,5.943888664,Eleonorastraat,10,6824 EX,Arnhem,Netherlands
Amsterdam Van der Madeweg,VMW,52.330134,4.92975,??,??,1099 CX,??,Netherlands
Amsterdam Lelylaan,ASDL,52.35777664,4.833889008,Cornelis Lelylaan,37,1062 HD,Amsterdam,Netherlands
Almere Centrum,ALM,52.37503,5.21764,??,??,1315 KP,Almere,Netherlands
Almere Buiten,ALMB,52.39416504,5.278055668,Noordeinde,172,1334 BC,Almere,Netherlands
Almere Muziekwijk,ALMM,52.36750031,5.190277576,Strawinskypad,100,1323 PZ,Almere,Netherlands
Baarn,BRN,52.20833206,5.280833244,Stationsplein,66A,3743 KM,Baarn,Netherlands
Baflo,BF,53.3608969,6.5185581,Stationsweg,2,9953 RG,Baflo,Netherlands
Barendrecht,BRD,51.85472107,4.553333282,??,??,2991,Barendrecht,Netherlands
Barneveld Centrum,BNC,52.13999939,5.590277672,??,??,3771 EP,Barneveld,Netherlands
Barneveld Noord,BNN,52.1613884,5.598055363,??,??,3771,Barneveld,Netherlands
Bedum,BDM,53.3068857,6.593054,??,??,9781 CZ,Bedum,Netherlands
Beek-Elsloo,BK,50.94749832,5.78666687,??,??,6191 BH,Beek,Netherlands
Beesd,BSD,51.89944458,5.194444656,Stationsweg,1,4153 RD,Beesd,Netherlands
